# 盲文点位（U+2800–U+28FF）。由 Unicode 官方字符名机械生成，无需人工校对。
# 点号之间留空格，中文引擎才会逐位读成「一二四五」而不是「一千二百四十五」。
2840	点 7	盲文 点 7	# BRAILLE PATTERN DOTS-7
2841	点 1 7	盲文 点 1 7	# BRAILLE PATTERN DOTS-17
2842	点 2 7	盲文 点 2 7	# BRAILLE PATTERN DOTS-27
2843	点 1 2 7	盲文 点 1 2 7	# BRAILLE PATTERN DOTS-127
2844	点 3 7	盲文 点 3 7	# BRAILLE PATTERN DOTS-37
2845	点 1 3 7	盲文 点 1 3 7	# BRAILLE PATTERN DOTS-137
2846	点 2 3 7	盲文 点 2 3 7	# BRAILLE PATTERN DOTS-237
2847	点 1 2 3 7	盲文 点 1 2 3 7	# BRAILLE PATTERN DOTS-1237
2848	点 4 7	盲文 点 4 7	# BRAILLE PATTERN DOTS-47
2849	点 1 4 7	盲文 点 1 4 7	# BRAILLE PATTERN DOTS-147
284A	点 2 4 7	盲文 点 2 4 7	# BRAILLE PATTERN DOTS-247
284B	点 1 2 4 7	盲文 点 1 2 4 7	# BRAILLE PATTERN DOTS-1247
284C	点 3 4 7	盲文 点 3 4 7	# BRAILLE PATTERN DOTS-347
284D	点 1 3 4 7	盲文 点 1 3 4 7	# BRAILLE PATTERN DOTS-1347
284E	点 2 3 4 7	盲文 点 2 3 4 7	# BRAILLE PATTERN DOTS-2347
284F	点 1 2 3 4 7	盲文 点 1 2 3 4 7	# BRAILLE PATTERN DOTS-12347
2850	点 5 7	盲文 点 5 7	# BRAILLE PATTERN DOTS-57
2851	点 1 5 7	盲文 点 1 5 7	# BRAILLE PATTERN DOTS-157
2852	点 2 5 7	盲文 点 2 5 7	# BRAILLE PATTERN DOTS-257
2853	点 1 2 5 7	盲文 点 1 2 5 7	# BRAILLE PATTERN DOTS-1257
2854	点 3 5 7	盲文 点 3 5 7	# BRAILLE PATTERN DOTS-357
2855	点 1 3 5 7	盲文 点 1 3 5 7	# BRAILLE PATTERN DOTS-1357
2856	点 2 3 5 7	盲文 点 2 3 5 7	# BRAILLE PATTERN DOTS-2357
2857	点 1 2 3 5 7	盲文 点 1 2 3 5 7	# BRAILLE PATTERN DOTS-12357
2858	点 4 5 7	盲文 点 4 5 7	# BRAILLE PATTERN DOTS-457
2859	点 1 4 5 7	盲文 点 1 4 5 7	# BRAILLE PATTERN DOTS-1457
285A	点 2 4 5 7	盲文 点 2 4 5 7	# BRAILLE PATTERN DOTS-2457
285B	点 1 2 4 5 7	盲文 点 1 2 4 5 7	# BRAILLE PATTERN DOTS-12457
285C	点 3 4 5 7	盲文 点 3 4 5 7	# BRAILLE PATTERN DOTS-3457
285D	点 1 3 4 5 7	盲文 点 1 3 4 5 7	# BRAILLE PATTERN DOTS-13457
285E	点 2 3 4 5 7	盲文 点 2 3 4 5 7	# BRAILLE PATTERN DOTS-23457
285F	点 1 2 3 4 5 7	盲文 点 1 2 3 4 5 7	# BRAILLE PATTERN DOTS-123457
2860	点 6 7	盲文 点 6 7	# BRAILLE PATTERN DOTS-67
2861	点 1 6 7	盲文 点 1 6 7	# BRAILLE PATTERN DOTS-167
2862	点 2 6 7	盲文 点 2 6 7	# BRAILLE PATTERN DOTS-267
2863	点 1 2 6 7	盲文 点 1 2 6 7	# BRAILLE PATTERN DOTS-1267
2864	点 3 6 7	盲文 点 3 6 7	# BRAILLE PATTERN DOTS-367
2865	点 1 3 6 7	盲文 点 1 3 6 7	# BRAILLE PATTERN DOTS-1367
2866	点 2 3 6 7	盲文 点 2 3 6 7	# BRAILLE PATTERN DOTS-2367
2867	点 1 2 3 6 7	盲文 点 1 2 3 6 7	# BRAILLE PATTERN DOTS-12367
2868	点 4 6 7	盲文 点 4 6 7	# BRAILLE PATTERN DOTS-467
2869	点 1 4 6 7	盲文 点 1 4 6 7	# BRAILLE PATTERN DOTS-1467
286A	点 2 4 6 7	盲文 点 2 4 6 7	# BRAILLE PATTERN DOTS-2467
286B	点 1 2 4 6 7	盲文 点 1 2 4 6 7	# BRAILLE PATTERN DOTS-12467
286C	点 3 4 6 7	盲文 点 3 4 6 7	# BRAILLE PATTERN DOTS-3467
286D	点 1 3 4 6 7	盲文 点 1 3 4 6 7	# BRAILLE PATTERN DOTS-13467
286E	点 2 3 4 6 7	盲文 点 2 3 4 6 7	# BRAILLE PATTERN DOTS-23467
286F	点 1 2 3 4 6 7	盲文 点 1 2 3 4 6 7	# BRAILLE PATTERN DOTS-123467
2870	点 5 6 7	盲文 点 5 6 7	# BRAILLE PATTERN DOTS-567
2871	点 1 5 6 7	盲文 点 1 5 6 7	# BRAILLE PATTERN DOTS-1567
2872	点 2 5 6 7	盲文 点 2 5 6 7	# BRAILLE PATTERN DOTS-2567
2873	点 1 2 5 6 7	盲文 点 1 2 5 6 7	# BRAILLE PATTERN DOTS-12567
2874	点 3 5 6 7	盲文 点 3 5 6 7	# BRAILLE PATTERN DOTS-3567
2875	点 1 3 5 6 7	盲文 点 1 3 5 6 7	# BRAILLE PATTERN DOTS-13567
